metal,country,country_norm,buffer_km,production,production_unit,year,global_share,country_exposure,dry_15d_low_q05_exposure,exposure_source_tier,source_tier_rank,is_observed_same_metal,is_observed_country_background,is_fallback,same_metal_node_count,background_layer,contribution,claim_use,source_note,previous_country_exposure,previous_exposure_source_tier,upgrade_applied,panel,cum_share
Copper,Peru,Peru,50,2700.0,thousand metric tons,2025,0.117391304347826,0.2536664638496931,0.2536664638496931,current_same_metal_country,1,True,False,False,3,,0.0297782370606161,main_case_current_proxy,Open mine production same-metal country exposure.,0.2536664638496931,current_same_metal_country,False,b_buffer_heatmap,
Copper,Other countries,Other countries,50,3000.0,thousand metric tons,2025,0.1304347826086956,0.2236360310478072,0.2236360310478072,aggregate_other_countries_fallback,6,False,False,True,0,,0.0291699170931922,coverage_fallback_not_direct_evidence,Aggregate MCS row; cannot be assigned to specific countries.,0.2236360310478072,aggregate_other_countries_fallback,False,b_buffer_heatmap,
Copper,Zambia,Zambia,50,940.0,thousand metric tons,2025,0.0408695652173913,0.3754298781418151,0.3754298781418151,current_same_metal_country,1,True,False,False,3,,0.0153436558892741,main_case_current_proxy,Open mine production same-metal country exposure.,0.3754298781418151,current_same_metal_country,False,b_buffer_heatmap,
Copper,China,China,50,1800.0,thousand metric tons,2025,0.0782608695652174,0.1359118896226088,0.1359118896226088,mrds_same_metal_country,2,True,False,False,180,,0.0106365826661172,supplementary_historical_proxy_observed_upgrade,Observed CHIRPS country exposure from full MRDS Copper candidate points.,0.2406690373781489,same_metal_observed_country_fallback,True,b_buffer_heatmap,
Copper,Australia,Australia,50,730.0,thousand metric tons,2025,0.0317391304347826,0.2457325043827063,0.2457325043827063,current_same_metal_country,1,True,False,False,2,,0.0077993360086685,main_case_current_proxy,Open mine production same-metal country exposure.,0.2457325043827063,current_same_metal_country,False,b_buffer_heatmap,
Copper,Mexico,Mexico,50,690.0,thousand metric tons,2025,0.03,0.2334219470142192,0.2334219470142192,current_same_metal_country,1,True,False,False,4,,0.0070026584104265,main_case_current_proxy,Open mine production same-metal country exposure.,0.2334219470142192,current_same_metal_country,False,b_buffer_heatmap,
Copper,Chile,Chile,100,5300.0,thousand metric tons,2025,0.2304347826086956,0.4883488692188545,0.4883488692188545,current_same_metal_country,1,True,False,False,4,,0.112532565515649,main_case_current_proxy,Open mine production same-metal country exposure.,0.4883488692188545,current_same_metal_country,False,b_buffer_heatmap,
Copper,Congo (Kinshasa),Congo (Kinshasa),100,3200.0,thousand metric tons,2025,0.1391304347826087,0.3769586574607861,0.3769586574607861,current_same_metal_country,1,True,False,False,4,,0.0524464219075876,main_case_current_proxy,Open mine production same-metal country exposure.,0.3769586574607861,current_same_metal_country,False,b_buffer_heatmap,
Copper,Peru,Peru,100,2700.0,thousand metric tons,2025,0.117391304347826,0.255490562951703,0.255490562951703,current_same_metal_country,1,True,False,False,3,,0.0299923704334607,main_case_current_proxy,Open mine production same-metal country exposure.,0.255490562951703,current_same_metal_country,False,b_buffer_heatmap,
Copper,Other countries,Other countries,100,3000.0,thousand metric tons,2025,0.1304347826086956,0.2177673056119532,0.2177673056119532,aggregate_other_countries_fallback,6,False,False,True,0,,0.0284044311667764,coverage_fallback_not_direct_evidence,Aggregate MCS row; cannot be assigned to specific countries.,0.2177673056119532,aggregate_other_countries_fallback,False,b_buffer_heatmap,
Copper,Zambia,Zambia,100,940.0,thousand metric tons,2025,0.0408695652173913,0.3723726753895511,0.3723726753895511,current_same_metal_country,1,True,False,False,3,,0.0152187093420077,main_case_current_proxy,Open mine production same-metal country exposure.,0.3723726753895511,current_same_metal_country,False,b_buffer_heatmap,
Copper,China,China,100,1800.0,thousand metric tons,2025,0.0782608695652174,0.1348319191278683,0.1348319191278683,mrds_same_metal_country,2,True,False,False,180,,0.010552063236094,supplementary_historical_proxy_observed_upgrade,Observed CHIRPS country exposure from full MRDS Copper candidate points.,0.2328336637947785,same_metal_observed_country_fallback,True,b_buffer_heatmap,
Copper,Australia,Australia,100,730.0,thousand metric tons,2025,0.0317391304347826,0.2404937697069301,0.2404937697069301,current_same_metal_country,1,True,False,False,2,,0.0076330631254808,main_case_current_proxy,Open mine production same-metal country exposure.,0.2404937697069301,current_same_metal_country,False,b_buffer_heatmap,
Copper,Mexico,Mexico,100,690.0,thousand metric tons,2025,0.03,0.2367426688600256,0.2367426688600256,current_same_metal_country,1,True,False,False,4,,0.0071022800658007,main_case_current_proxy,Open mine production same-metal country exposure.,0.2367426688600256,current_same_metal_country,False,b_buffer_heatmap,
Copper,Chile,Chile,200,5300.0,thousand metric tons,2025,0.2304347826086956,0.3967126503351068,0.3967126503351068,current_same_metal_country,1,True,False,False,4,,0.0914163933380898,main_case_current_proxy,Open mine production same-metal country exposure.,0.3967126503351068,current_same_metal_country,False,b_buffer_heatmap,
Copper,Congo (Kinshasa),Congo (Kinshasa),200,3200.0,thousand metric tons,2025,0.1391304347826087,0.3725297063312814,0.3725297063312814,current_same_metal_country,1,True,False,False,4,,0.0518302200113087,main_case_current_proxy,Open mine production same-metal country exposure.,0.3725297063312814,current_same_metal_country,False,b_buffer_heatmap,
Copper,Other countries,Other countries,200,3000.0,thousand metric tons,2025,0.1304347826086956,0.2041924946071634,0.2041924946071634,aggregate_other_countries_fallback,6,False,False,True,0,,0.0266338036444126,coverage_fallback_not_direct_evidence,Aggregate MCS row; cannot be assigned to specific countries.,0.2041924946071634,aggregate_other_countries_fallback,False,b_buffer_heatmap,
Copper,Peru,Peru,200,2700.0,thousand metric tons,2025,0.117391304347826,0.1989460196596131,0.1989460196596131,current_same_metal_country,1,True,False,False,3,,0.0233545327426502,main_case_current_proxy,Open mine production same-metal country exposure.,0.1989460196596131,current_same_metal_country,False,b_buffer_heatmap,
Copper,Zambia,Zambia,200,940.0,thousand metric tons,2025,0.0408695652173913,0.3691240495307781,0.3691240495307781,current_same_metal_country,1,True,False,False,3,,0.0150859394156057,main_case_current_proxy,Open mine production same-metal country exposure.,0.3691240495307781,current_same_metal_country,False,b_buffer_heatmap,
Copper,China,China,200,1800.0,thousand metric tons,2025,0.0782608695652174,0.1347004541920291,0.1347004541920291,mrds_same_metal_country,2,True,False,False,180,,0.0105417746758979,supplementary_historical_proxy_observed_upgrade,Observed CHIRPS country exposure from full MRDS Copper candidate points.,0.2191195077055099,same_metal_observed_country_fallback,True,b_buffer_heatmap,
Copper,Australia,Australia,200,730.0,thousand metric tons,2025,0.0317391304347826,0.226007944713344,0.226007944713344,current_same_metal_country,1,True,False,False,2,,0.0071732956365539,main_case_current_proxy,Open mine production same-metal country exposure.,0.226007944713344,current_same_metal_country,False,b_buffer_heatmap,
Copper,Mexico,Mexico,200,690.0,thousand metric tons,2025,0.03,0.2369286969075482,0.2369286969075482,current_same_metal_country,1,True,False,False,4,,0.0071078609072264,main_case_current_proxy,Open mine production same-metal country exposure.,0.2369286969075482,current_same_metal_country,False,b_buffer_heatmap,
Copper,Chile,Chile,100,5300.0,thousand metric tons,2025,0.2304347826086956,0.4883488692188545,0.4883488692188545,current_same_metal_country,1,True,False,False,4,,0.112532565515649,main_case_current_proxy,Open mine production same-metal country exposure.,0.4883488692188545,current_same_metal_country,False,c_cumulative,0.42645048209722936
Copper,Congo (Kinshasa),Congo (Kinshasa),100,3200.0,thousand metric tons,2025,0.1391304347826087,0.3769586574607861,0.3769586574607861,current_same_metal_country,1,True,False,False,4,,0.0524464219075876,main_case_current_proxy,Open mine production same-metal country exposure.,0.3769586574607861,current_same_metal_country,False,c_cumulative,0.6252000778634007
Copper,Peru,Peru,100,2700.0,thousand metric tons,2025,0.117391304347826,0.255490562951703,0.255490562951703,current_same_metal_country,1,True,False,False,3,,0.0299923704334607,main_case_current_proxy,Open mine production same-metal country exposure.,0.255490562951703,current_same_metal_country,False,c_cumulative,0.738858384434305
Copper,Other countries,Other countries,100,3000.0,thousand metric tons,2025,0.1304347826086956,0.2177673056119532,0.2177673056119532,aggregate_other_countries_fallback,6,False,False,True,0,,0.0284044311667764,coverage_fallback_not_direct_evidence,Aggregate MCS row; cannot be assigned to specific countries.,0.2177673056119532,aggregate_other_countries_fallback,False,c_cumulative,0.8464990776795407
Copper,Zambia,Zambia,100,940.0,thousand metric tons,2025,0.0408695652173913,0.3723726753895511,0.3723726753895511,current_same_metal_country,1,True,False,False,3,,0.0152187093420077,main_case_current_proxy,Open mine production same-metal country exposure.,0.3723726753895511,current_same_metal_country,False,c_cumulative,0.9041715025999009
Copper,China,China,100,1800.0,thousand metric tons,2025,0.0782608695652174,0.1348319191278683,0.1348319191278683,mrds_same_metal_country,2,True,False,False,180,,0.010552063236094,supplementary_historical_proxy_observed_upgrade,Observed CHIRPS country exposure from full MRDS Copper candidate points.,0.2328336637947785,same_metal_observed_country_fallback,True,c_cumulative,0.9441593268668859
Copper,Australia,Australia,100,730.0,thousand metric tons,2025,0.0317391304347826,0.2404937697069301,0.2404937697069301,current_same_metal_country,1,True,False,False,2,,0.0076330631254808,main_case_current_proxy,Open mine production same-metal country exposure.,0.2404937697069301,current_same_metal_country,False,c_cumulative,0.9730853842692403
Copper,Mexico,Mexico,100,690.0,thousand metric tons,2025,0.03,0.2367426688600256,0.2367426688600256,current_same_metal_country,1,True,False,False,4,,0.0071022800658007,main_case_current_proxy,Open mine production same-metal country exposure.,0.2367426688600256,current_same_metal_country,False,c_cumulative,1.0000000000000002
Copper,Chile,Chile,100,5300.0,thousand metric tons,2025,0.2304347826086956,0.4883488692188545,0.4883488692188545,current_same_metal_country,1,True,False,False,4,,0.112532565515649,main_case_current_proxy,Open mine production same-metal country exposure.,0.4883488692188545,current_same_metal_country,False,d_tier_strip,
Copper,Congo (Kinshasa),Congo (Kinshasa),100,3200.0,thousand metric tons,2025,0.1391304347826087,0.3769586574607861,0.3769586574607861,current_same_metal_country,1,True,False,False,4,,0.0524464219075876,main_case_current_proxy,Open mine production same-metal country exposure.,0.3769586574607861,current_same_metal_country,False,d_tier_strip,
Copper,Peru,Peru,100,2700.0,thousand metric tons,2025,0.117391304347826,0.255490562951703,0.255490562951703,current_same_metal_country,1,True,False,False,3,,0.0299923704334607,main_case_current_proxy,Open mine production same-metal country exposure.,0.255490562951703,current_same_metal_country,False,d_tier_strip,
Copper,Other countries,Other countries,100,3000.0,thousand metric tons,2025,0.1304347826086956,0.2177673056119532,0.2177673056119532,aggregate_other_countries_fallback,6,False,False,True,0,,0.0284044311667764,coverage_fallback_not_direct_evidence,Aggregate MCS row; cannot be assigned to specific countries.,0.2177673056119532,aggregate_other_countries_fallback,False,d_tier_strip,
Copper,Zambia,Zambia,100,940.0,thousand metric tons,2025,0.0408695652173913,0.3723726753895511,0.3723726753895511,current_same_metal_country,1,True,False,False,3,,0.0152187093420077,main_case_current_proxy,Open mine production same-metal country exposure.,0.3723726753895511,current_same_metal_country,False,d_tier_strip,
Copper,China,China,100,1800.0,thousand metric tons,2025,0.0782608695652174,0.1348319191278683,0.1348319191278683,mrds_same_metal_country,2,True,False,False,180,,0.010552063236094,supplementary_historical_proxy_observed_upgrade,Observed CHIRPS country exposure from full MRDS Copper candidate points.,0.2328336637947785,same_metal_observed_country_fallback,True,d_tier_strip,
Copper,Australia,Australia,100,730.0,thousand metric tons,2025,0.0317391304347826,0.2404937697069301,0.2404937697069301,current_same_metal_country,1,True,False,False,2,,0.0076330631254808,main_case_current_proxy,Open mine production same-metal country exposure.,0.2404937697069301,current_same_metal_country,False,d_tier_strip,
Copper,Mexico,Mexico,100,690.0,thousand metric tons,2025,0.03,0.2367426688600256,0.2367426688600256,current_same_metal_country,1,True,False,False,4,,0.0071022800658007,main_case_current_proxy,Open mine production same-metal country exposure.,0.2367426688600256,current_same_metal_country,False,d_tier_strip,
