metal,buffer_km,climate_metric,CPWE_after_observed_upgrade,production_HHI,GLI_after_observed_upgrade,observed_or_background_share,fallback_share,t1_coverage_gate,top_country,top_country_contribution,top_country_source_tier,claim_use,rank_by_CPWE_after_upgrade,rank_by_GLI_after_upgrade,panel,top_cpwe_rank,coverage_pass,top_country_decomposition,shuffle_support,loo_support
Lead,200.0,dry_15d_low_q05,0.2149595524295729,0.2190222222222221,0.0470809188610193,0.2999999999999998,0.6955555555555551,fail,China,0.093467193132589,same_metal_observed_country_fallback,coverage_warning_or_atlas_only,2.0,1.0,c_coverage,,,,,
Zinc,200.0,dry_15d_low_q05,0.2037764556059369,0.1579976331360946,0.0321961976746004,0.3499999999999998,0.6146153846153843,fail,China,0.0651710681999461,same_metal_observed_country_fallback,coverage_warning_or_atlas_only,3.0,2.0,c_coverage,,,,,
Tin,200.0,dry_15d_low_q05,0.1815053290319856,0.1436717003567181,0.0260771792458309,0.6068965517241376,0.3968965517241375,fail,China,0.0640597851191977,same_metal_observed_country_fallback,coverage_warning_or_atlas_only,4.0,6.0,c_coverage,,,,,
Aluminium,200.0,dry_15d_low_q05,0.1346343383063202,0.2144228388429751,0.0288686770253866,0.3181818181818181,0.6839999999999994,fail,Guinea,0.0510126456735646,same_metal_observed_country_fallback,coverage_warning_or_atlas_only,5.0,4.0,c_coverage,,,,,
Nickel,200.0,dry_15d_low_q05,0.0570564145438128,0.4613823142669296,0.0263248205859976,0.8038461538461535,0.192307692307692,pass,Indonesia,0.0183643921951897,country_mining_background,main_candidate_if_controls_survive,6.0,5.0,c_coverage,,,,,
Copper,,,,,,,,,,,,,,,d_claim_package,True,True,True,True,True
Lead,,,,,,,,,,,,,,,d_claim_package,False,False,False,False,False
Zinc,,,,,,,,,,,,,,,d_claim_package,False,False,False,False,False
Tin,,,,,,,,,,,,,,,d_claim_package,False,False,False,False,False
Aluminium,,,,,,,,,,,,,,,d_claim_package,False,False,False,False,False
Nickel,,,,,,,,,,,,,,,d_claim_package,False,True,False,False,False
